 surface  401.3                                                                                                                        
      energy   
    1.3972E-02   6.22879E-11 0.7072
    1.4041E-02   6.28761E-11 0.7071
    1.4110E-02   1.71550E-10 0.5580
    1.4179E-02   5.25115E-11 0.7221
    1.4248E-02   8.97069E-11 0.5792
    1.4317E-02   9.28158E-11 0.5776
    1.4386E-02   1.16454E-10 0.5040
    1.4455E-02   9.28248E-11 0.5776
    1.4524E-02   7.95952E-11 0.5826
    1.4593E-02   6.32095E-11 0.7071
    1.4662E-02   9.26637E-11 0.5774
    1.4731E-02   2.67556E-10 0.4022
    1.4800E-02   5.13557E-11 0.7201
    1.4869E-02   1.77117E-10 0.4100
    1.4938E-02   1.99615E-10 0.3803
    1.5007E-02   7.41643E-11 0.5861
    1.5076E-02   1.22532E-10 0.5001
    1.5145E-02   8.92321E-11 0.5785
    1.5214E-02   1.08208E-10 0.5083
    1.5283E-02   6.18801E-11 0.7072
    1.5352E-02   7.45402E-11 0.5880
    1.5421E-02   1.17552E-10 0.5006
    1.5490E-02   8.86250E-11 0.5779
    1.5559E-02   2.13975E-10 0.3580
    1.5628E-02   1.38987E-10 0.4488
    1.5697E-02   1.41198E-10 0.4521
    1.5766E-02   1.46658E-10 0.4160
    1.5835E-02   2.30230E-10 0.3540
    1.5904E-02   2.29223E-10 0.4404
    1.5973E-02   7.54902E-11 0.5859
    1.6042E-02   3.04361E-10 0.2917
    1.6111E-02   3.93723E-10 0.2684
    1.6180E-02   3.00011E-10 0.2940
    1.6249E-02   2.73701E-10 0.3184
    1.6318E-02   2.96453E-10 0.3033
    1.6387E-02   2.36808E-10 0.3359
    1.6456E-02   2.09053E-10 0.3576
    1.6525E-02   1.28729E-10 0.4545
    1.6594E-02   3.37103E-10 0.2911
    1.6663E-02   2.91366E-10 0.3676
    1.6732E-02   3.09385E-10 0.3020
    1.6801E-02   2.62550E-10 0.3197
    1.6870E-02   2.88959E-10 0.3040
    1.6939E-02   4.16357E-10 0.3381
    1.7008E-02   2.86946E-10 0.3169
    1.7077E-02   4.29960E-10 0.3248
    1.7146E-02   3.71453E-10 0.2620
    1.7215E-02   2.95346E-10 0.3750
    1.7284E-02   4.83223E-10 0.2372
    1.7353E-02   5.21371E-10 0.3119
    1.7422E-02   5.29533E-10 0.2568
    1.7491E-02   5.86318E-10 0.2109
    1.7560E-02   5.89346E-10 0.2614
    1.7629E-02   4.76955E-10 0.3016
    1.7698E-02   5.57820E-10 0.2448
    1.7767E-02   5.32004E-10 0.2168
    1.7836E-02   3.22816E-10 0.2802
    1.7905E-02   6.02921E-10 0.2363
    1.7974E-02   6.59410E-10 0.2011
    1.8043E-02   6.58662E-10 0.2210
    1.8112E-02   5.12732E-10 0.2214
    1.8181E-02   6.75124E-10 0.2141
    1.8250E-02   4.44991E-10 0.2790
    1.8319E-02   1.09307E-09 0.1945
    1.8388E-02   7.68679E-10 0.2372
    1.8457E-02   8.06184E-10 0.2137
    1.8526E-02   9.31645E-10 0.1802
    1.8595E-02   9.31062E-10 0.1661
    1.8664E-02   6.72721E-10 0.2171
    1.8733E-02   7.91155E-10 0.1963
    1.8802E-02   9.63815E-10 0.1767
    1.8871E-02   7.95818E-10 0.1980
    1.8940E-02   9.18723E-10 0.1660
    1.9009E-02   1.06239E-09 0.1780
    1.9078E-02   8.54272E-10 0.2035
    1.9147E-02   7.73217E-10 0.1787
    1.9216E-02   8.47538E-10 0.1875
    1.9285E-02   7.34132E-10 0.1870
    1.9354E-02   9.89971E-10 0.1960
    1.9423E-02   1.17011E-09 0.1471
    1.9492E-02   8.50101E-10 0.2059
    1.9561E-02   1.37926E-09 0.1359
    1.9630E-02   8.75355E-10 0.1682
    1.9699E-02   1.22116E-09 0.1526
    1.9768E-02   1.38950E-09 0.1590
    1.9837E-02   1.07218E-09 0.1624
    1.9906E-02   1.33639E-09 0.1547
    1.9975E-02   1.65993E-09 0.1358
    2.0044E-02   1.42265E-09 0.1455
    2.0113E-02   1.30969E-09 0.1639
    2.0182E-02   1.08442E-09 0.1505
    2.0251E-02   1.55638E-09 0.1528
    2.0320E-02   1.23617E-09 0.1596
    2.0389E-02   1.48314E-09 0.1498
    2.0458E-02   1.27073E-09 0.1585
    2.0527E-02   1.54800E-09 0.1642
    2.0596E-02   1.85310E-09 0.1352
    2.0665E-02   1.35852E-09 0.1432
    2.0734E-02   1.61402E-09 0.1423
    2.0803E-02   1.39819E-09 0.1400
    2.0872E-02   1.27589E-09 0.1653
    2.0941E-02   1.56548E-09 0.1336
    2.1010E-02   1.73291E-09 0.1301
    2.1079E-02   1.84389E-09 0.1265
    2.1148E-02   1.52560E-09 0.1398
    2.1217E-02   1.68646E-09 0.1318
    2.1286E-02   1.77573E-09 0.1276
    2.1355E-02   2.37918E-09 0.1119
    2.1424E-02   1.88133E-09 0.1135
    2.1493E-02   1.72135E-09 0.1363
    2.1562E-02   1.87855E-09 0.1230
    2.1631E-02   2.02859E-09 0.1189
    2.1700E-02   2.35899E-09 0.1225
    2.1769E-02   2.04131E-09 0.1265
    2.1838E-02   1.71201E-09 0.1310
    2.1907E-02   1.89427E-09 0.1240
    2.1976E-02   1.96161E-09 0.1155
    2.2045E-02   2.40517E-09 0.1175
    2.2114E-02   2.08525E-09 0.1167
    2.2183E-02   2.44140E-09 0.1123
